pub_date	type	title	venue	excerpt	citation	url_slug	paper_url
2011-08-09	thesis	Investigations into categorial grammar: Symmetric pregroup grammar and displacement calculus	BSc Thesis, Utrecht University	In this thesis we investigate a symmetric extension of pregroup grammars, and the generative capacity of the Displacement Calculus.	Wijnholds, G. (2011). "Investigations into categorial grammar: Symmetric pregroup grammar and displacement calculus." <i>BSc Thesis, Utrecht University</i>.	thesis-title-number-1	https://dspace.library.uu.nl/bitstream/handle/1874/207634/scriptie_final.pdf?sequence=2
2014-10-01	published	Conversions between D and MCFG: Logical Characterizations of the Mildly Context-Sensitive Languages	Computational Linguistics in the Netherlands Journal	This paper describes a characterisation of well-nested Multiple Context Free Languages by first order Displacement Calculus.	Wijnholds, G. J. (2014). "Conversions between D and MCFG: Logical Characterizations of the Mildly Context-Sensitive Languages." <i>Computational Linguistics in the Netherlands Journal</i>. 4.	paper-title-number-1	https://clinjournal.org/sites/clinjournal.org/files/10-Wijnholds-CLIN2014.pdf
2014-05-01	thesis	Categorical Foundations for Extended Compositional Distributional Models of Meaning	MSc Thesis	In the thesis we investigate a categorical compositional distributional model for the Lambek-Grishin Calculus, a two-sided extension of the Lambek Calculus. We also look at graphical languages for reasoning with diagrams for this extended model.	Wijnholds, G. (2014). "Categorical Foundations for Extended Compositional Distributional Models of Meaning." <i>MSc Thesis, Institute for Logic, Language, and Computation</i>.	thesis-title-number-2	https://www.illc.uva.nl/Research/Publications/Reports/MoL-2014-22.text.pdf
2015-06-21	abstract	Syntactic control for compositional vector space models	Topology, Algebra, and Categories in Logic 2015	We discuss the use of the Lambek-Grishin Calculus in a compositional distributional model of meaning.	Moortgat, M. J., and Wijnholds, G. "Syntactic control for compositional vector space models." <i>Topology, Algebra, and Categories in Logic 2015 (2015): 204-206</i>.	abstract-title-number-1	http://logica.dmi.unisa.it/tacl/wp-content/uploads/abstracts/paper_81.pdf
2017-08-18	abstract	Vector Semantics for Lambek Calculus with Contraction	Logic and Algorithms in Computational Linguistics 2017	We discuss vector semantics for a relevant style of Lambek Calculus.	Wijnholds, G, and Sadrzadeh, M. "Vector Semantics for Lambek Calculus with Contraction." <i>Workshop on Logic and Algorithms in Computational Linguistics 2017 (LACompLing2017). 2017</i>.	abstract-title-number-2	http://staff.math.su.se/rloukanova/proceedingsLACompLing2017.pdf#page=143
2017-10-01	published	Coherent Diagrammatic Reasoning in Compositional Distributional Semantics	WoLLIC 2017	In this paper we develop a graphical language for reasoning about information flow in the Lambek Calculus.	Wijnholds, G. J. (2017). "Coherent Diagrammatic Reasoning in Compositional Distributional Semantics." <i>WoLLIC 2017, Lecture Notes in Computer Science</i>. 10388.	paper-title-number-3	https://link.springer.com/chapter/10.1007/978-3-662-55386-2_27
2017-12-01	published	Lexical and Derivational Meaning in Vector-Based Models of Relativisation	Proceedings of the 21st Amsterdam Colloquium	We give an account of pronoun relativisation in Dutch in a compositional distributional model.	Moortgat, M. and Wijnholds, G. (2017). "Lexical and Derivational Meaning in Vector-Based Models of Relativisation." <i>Proceedings of the 21st Amsterdam Colloquium</i>.	paper-title-number-4	https://arxiv.org/pdf/1711.11513.pdf
2019-01-01	published	A Proof-Theoretic Approach to Scope Ambiguity in Compositional Vector Space Models	Journal of Language Modelling	Journal of Language Modelling. We combine a proof-theoretic model of scope ambiguities with a lexical treatment of quantifiers in a compositional distributional model.	Wijnholds, G.  "A Proof-Theoretic Approach to Scope Ambiguity in Compositional Vector Space Models." <i>Journal of Language Modelling, Vol 6, No 2</i>.	paper-title-number-5	http://jlm.ipipan.waw.pl/index.php/JLM/article/view/232
2018-02-01	published	Classical Copying versus Quantum Entanglement in Natural Language: The Case of VP-ellipsis	Proceedings of the 2018 workshop on Compositional Approaches in Physics, NLP and Social Sciences	We develop and compare two compositional distributional models for embedding VP-elliptical phrases.	Wijnholds, G. and Sadrzadeh, M. (2018). "Classical Copying versus Quantum Entanglement in Natural Language: The Case of VP-ellipsis."  <i>CAPNS 2018 proceedings</i>.	paper-title-number-6	http://eptcs.web.cse.unsw.edu.au/paper.cgi?CAPNS2018.8
2019-02-22	published	Evaluating Composition Models for Verb Phrase Elliptical Sentence Embeddings	NAACL-HLT 2019	We evaluate compositional distributional models for VP-elliptical phrases.	Wijnholds, G. and Sadrzadeh, M. (2019). "Evaluating Composition Models for Verb Phrase Elliptical Sentence Embeddings."  <i>NAACL-HLT 2019 (Long)</i>.	paper-title-number-7	https://www.aclweb.org/anthology/N19-1023
2019-02-23	published	A Type-Driven Vector Semantics for Ellipsis with Anaphora using Lambek Calculus with Limited Contraction	LACompLing 2017	We develop a vector space semantics for verb phrase ellipsis with anaphora using type-driven compositional distributional semantics based on the Lambek calculus with limited contraction (LCC) of Jäger (2006).	Wijnholds, G. and Sadrzadeh, M. (2019). "A Type-Driven Vector Semantics for Ellipsis with Anaphora using Lambek Calculus with Limited Contraction."  <i>Journal of Logic, Language and Information, 2019</i>.	paper-title-number-8	https://link.springer.com/article/10.1007/s10849-019-09293-4
2019-05-16	abstract	Incremental Semantic Judgments	Third Dynamix Syntax Conference	We discuss vector semantics for Dynamic Syntax and present empirical results on incremental disambiguation experiments.	Purver, M, and Sadrzadeh, M, and Wijnholds, G, and Kempson, R, and Hough, J. "Incremental Semantic Judgments." <i>Third Dynamic Syntax Conference. 2019</i>.	abstract-title-number-3	https://drive.google.com/file/d/1hblEWmlc2CVu_tQ62vgKVcRh6PqHzgma/view
2020-05-06	preprint	Categorical Vector Space Semantics for Lambek Calculus with a Relevant Modality	ArXiV	We develop a vector semantics based on the Lambek Calculus with a relevant modality, and give experimental result on a new dataset.	McPheat, L. and Sadrzadeh, M. and Wazni, H. and Wijnholds, G. (2020). "Categorical Vector Space Semantics for Lambek Calculus with a Relevant Modality." <i>ArXiV preprint</i>.	paper-title-number-9	https://arxiv.org/abs/2005.03074
2020-05-12	published	A Frobenius Algebraic Analysis for Parasitic Gaps	IfCoLog Journal of Applied Logics	We develop a Frobenius Algebraic account for parasitic gapping.	Moortgat, M., and Sadrzadeh, M. and Wijnholds, G. (2019). "A Frobenius Algebraic Analysis for Parasitic Gaps."  <i>IfCoLog Journal of Applied Logics</i>.	paper-title-number-10	http://www.collegepublications.co.uk/downloads/ifcolog00041.pdf#page=156
2020-05-12	published	A toy distributional model for fuzzy generalised quantifiers	Probability and Meaning 2020	We develop a rudimentary experiment with fuzzy generalised quantifiers, following earlier work.	Sadrzadeh, M. and Wijnholds, G. (2020). "A toy distributional model for fuzzy generalised quantifiers."  <i>Proceedings of the Probability and Meaning Conference (PaM)</i>.	paper-title-number-11	https://www.aclweb.org/anthology/2020.pam-1.12.pdf
2020-07-28	thesis	A Compositional Vector Space Model of Ellipsis and Anaphora	QMUL	The results of a 3-year PhD at QMUL.	Wijnholds, G. (2020). "A Compositional Vector Space Model of Ellipsis and Anaphora."  <i>PhD Dissertation, Queen Mary University of London</i>.	thesis-title-number-3	https://qmro.qmul.ac.uk/xmlui/bitstream/handle/123456789/68505/Wijnholds_G_Final_PhD_090920_Edited.pdf?sequence=3
2020-11-01	published	Representation Learning for Type-Driven Composition	CoNLL 2020	We implement a tensor-based skipgram architecture to learn verb matrix representations. These outperform previous methods in tensor-based representation learning and approach state of the art deep neural network models on the SICK dataset.	Wijnholds, G., and Sadrzadeh, M. and Clark, S. (2020). "Representation Learning for Type-Driven Composition."  <i>Proceedings of the 24th Conference on Computational Natural Language Learning</i>.	paper-title-number-12	https://www.aclweb.org/anthology/2020.conll-1.24.pdf
2021-01-01	published	Incremental Composition in Distributional Semantics	JoLLI 2021	We describe an incremental approach to tensor-based distributional semantics, following Dynamic Syntax. We experiment with an incremental disambiguation task.	Purver, M. and Sadrzadeh, M. and Kempson, R. and Wijnholds, G. and Hough, J. (2021). "Incremental Composition in Distributional Semantics."  <i>Journal of Logic, Language and Information</i>.	paper-title-number-13	https://doi.org/10.1007/s10849-021-09337-8
2021-01-02	published	Fuzzy Generalised Quantifiers for Natural Language in Categorical Compositional Distributional Semantics	Mathematics, Logic, and Their Philosophies: Essays in Honour of Mohammad Ardeshir, Logic, Epistemology, and the Unity of Science	We develop the mathematics to deal with fuzzy generalized quantifiers in a compositional distributional model of meaning.	Dostal, M. and Sadrzadeh, M. and Wijnholds, G. (2020). "Fuzzy Generalised Quantifiers for Natural Language in Categorical Compositional Distributional Semantics."  <i>Mathematics, Logic, and Their Philosophies: Essays in Honour of Mohammad Ardeshir, Logic, Epistemology, and the Unity of Science</i>.	paper-title-number-14	https://books.google.nl/books?hl=en&lr=&id=cYYbEAAAQBAJ&oi=fnd&pg=PA135&dq=info:2U-2e6HfwZQJ:scholar.google.com&ots=t-Jz96lQA5&sig=tiiz84KVxLNpSlowK81sB1tW8M8
2021-04-01	published	SICK-NL: A Dataset for Dutch Natural Language Inference	EACL 2021	We provide a semi-automatic translation of the SICK dataset into Dutch, providing the first Dutch Natural Language Inference task. Experiments suggest that the Dutch task is harder, and that state of the art language models do not fully capture syntactic invariance.	Wijnholds, G. and Moortgat, M. (2021). "SICK-NL: A Dataset for Dutch Natural Language Inference."  <i>Proceedings of the 16th Conference of the European Chapter of the Association for Computational Linguistics</i>.	paper-title-number-15	https://aclanthology.org/2021.eacl-main.126/
2021-04-21	preprint	Improving BERT Pretraining with Syntactic Supervision	ArXiV	We train a BERT model from scratch for Dutch, while incorporating a supertagging objective to induce a syntactic bias. Initial experiments hint at improved or equal performance on a number of tasks, despite pretraining on a small amount of data.	Tziafas, G. and Kogkalidis, K. and Wijnholds, G. and Moortgat, M. (2021). "Improving BERT Pretraining with Syntactic Supervision."  <i>ArXiV preprint</i>.	paper-title-number-16	https://arxiv.org/pdf/2104.10516.pdf
2021-04-22	published	Anaphora and Ellipsis in Lambek Calculus with a Relevant Modality: Syntax and Semantics	Journal of Cognitive Science	We use a DisCoCat vector space instance of semantics and show how one can interpret anaphora, ellipsis, and for the first time derive the sloppy vs strict vector readings of ambiguous anaphora with ellipsis cases.	McPheat, L. and and Wijnholds, G. and Sadrzadeh, M. and Correia, A. and Toumi, A. (2021). "Anaphora and Ellipsis in Lambek Calculus with a Relevant Modality: Syntax and Semantics."  <i>Journal of Cognitive Science</i>.	paper-title-number-17	https://www.cl.cam.ac.uk/events/act2021/papers/ACT_2021_paper_42.pdf
2022-03-07	published	Discontinuous Constituency and BERT: A Case Study of Dutch	Findings of ACL 2022	We devise a test suite based on a mildly context-sensitive formalism, from which we derive grammars that capture the linguistic phenomena of control verb nesting and verb raising. The grammars, paired with a small lexicon, provide us with a large collection of naturalistic utterances, annotated with verb-subject pairings, that serve as the evaluation test bed for an attention-based span selection probe. Our results, backed by extensive analysis, suggest that the models investigated fail in the implicit acquisition of the dependencies examined.	Kogkalidis, K. and Wijnholds, G. (2022). "Discontinuous Constituency and BERT: A Case Study of Dutch."  <i>Findings of the Association for Computational Linguistics 2022</i>.	paper-title-number-18	https://arxiv.org/abs/2203.01063
